Name	Set	ImageFile	Element	Hit Points	Powerlevel	Level/Rank	Typecasting	Cost	Rarity	Description
Evacuate GMT 101	GMT	GMT-101.png	Water	N/A	N/A	Ultra Rank	Reaction	10TP	Uncommon	Overdrive: 5 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Return the user and the attacker to their owners' Fighter Pools. Send all cards attached to and stacked under both the user and the attacker to their owners' Discard Piles.;On Overdrive Paid: The attacker's controller receives damage equal to the attacker's Level.
Evil Glare GMT 102	GMT	GMT-102.png	Dark	N/A	N/A	Special Rank	Reaction	3TP	Uncommon	Negate 1 attack of Hyper Rank or lower that targets the user of this card unless the attacker pays 1 !tp! for each hit in that attack.
Hard Counter GMT 103	GMT	GMT-103.png	Metal	N/A	N/A	Hyper Rank	Reaction - Physical	7TP	Common	Overdrive: 5 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Block 1 Physical attack of Ultra Rank or lower that targets the user of this card.;On Overdrive Paid: If the attack was Blocked successfully and the attacker is a Character, destroy the attacker.
Hellfire Shield GMT 104	GMT	GMT-104.png	Dark/Fire	N/A	N/A	Hyper Rank	Reaction - Energy	8TP	Common	Block 1 attack of Hyper Rank or lower that targets the user of this card.;Counter-hit for [!plv!+5] damage. If successful, put 2 :drain: on your target.
Hunger of the Devourer GMT 105	GMT	GMT-105.png	Nature/Metal	N/A	N/A	Ultra Rank	Reaction	10TP	Rare	Block 1 attack of Hyper Rank or lower that targets the user of this card.;If you control a Boss Character and the attacker is a Character, destroy the attacker and send all cards attached to and stacked under the attacker to their owner's Rift Zone.
Indestructable Skin GMT 106	GMT	GMT-106.png	Metal/Earth	N/A	N/A	Ultra Rank	Reaction	12TP	Super Rare	The user gains Damage Immune (This card cannot be targeted or affected by cards or abilities with the listed effects.) until this turn's End Phase.;Counter-hit for X damage, where X is the amount of Damage Counters on the user.
Judo Throw GMT 107	GMT	GMT-107.png	Fire	N/A	N/A	Hyper Rank	Reaction - Physical	5TP	Uncommon	Negate 1 Physical attack of Hyper Rank or lower that targets the user of this card.;Counter-hit both the attacker and another target enemy for [!plv!+3] damage. If successful, put 2 :drain: on each target.
Lightning Reflexes GMT 108	GMT	GMT-108.png	Storm	N/A	N/A	Special Rank	Reaction	2TP	Common	Block up to 4 damage from each hit of 1 attack.
Lightning Rod GMT 109	GMT	GMT-109.png	Metal/Storm	N/A	N/A	Hyper Rank	Reaction	6TP	Common	Block 1 Energy attack of Hyper Rank or lower.
Liquid Form GMT 110	GMT	GMT-110.png	Water	N/A	N/A	Hyper Rank	Reaction	9TP	Rare	Negate 1 Physical attack of Ultra Rank or lower that targets the user of this card.;Other Reactions you own have 2 less !tp! until this turn's End Phase.
Quicksilver Slide GMT 111	GMT	GMT-111.png	Time/Metal	N/A	N/A	Hyper Rank	Reaction	5TP	Uncommon	Block 1 attack of Hyper Rank or lower that targets the user of this card. You gain 1 !tp! for each hit blocked this way.
Rapid Degradation GMT 112	GMT	GMT-112.png	Time/Nature	N/A	N/A	Special Rank	Reaction	4TP	Common	Choose an attack Subtype. For all attacks of the chosen Subtype targeting the user this turn, damage they deal is divided by 2, rounded down.
Re-entry Slide GMT 113	GMT	GMT-113.png	Space/Time	N/A	N/A	Hyper Rank	Reaction	6TP	Common	Prevent 1 attack of Hyper Rank or lower that targets the user of this card.
Revenge of Virax GMT 114	GMT	GMT-114.png	Storm/Earth	N/A	N/A	Ultra Rank	Reaction	11TP	Common	Block 1 attack of Ultra Rank or lower that targets the user of this card.;If you control a Boss Character, Counter-hit all enemies for !plv! Relentless damage.
Riposte GMT 115	GMT	GMT-115.png	Time	N/A	N/A	Special Rank	Reaction - Physical	4TP	Common	Deflect 1 Physical attack of Hyper Rank or lower that targets the user of this card.
Scorn of Avaraxus GMT 116	GMT	GMT-116.png	Light/Dark	N/A	N/A	Hyper Rank	Reaction	8TP	Rare	Negate 1 attack of Hyper Rank or lower that targets the user of this card.;If you control a Boss Character, destroy all cards attached to the attacker.
Static Repulsion GMT 117	GMT	GMT-117.png	Storm	N/A	N/A	Special Rank	Reaction - Energy	4TP	Common	Overdrive: 2 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Block 1 attack of Special Rank or lower.;On Overdrive Paid: Deflect that attack instead. That attack becomes an Energy attack.
Steam Shroud GMT 118	GMT	GMT-118.png	Water/Fire	N/A	N/A	Hyper Rank	Reaction	6TP	Uncommon	Deflect 1 attack of Hyper Rank or lower. If successful, draw a card and reveal it. If that card is =water= or =fire=, put 3 :drain: on your target.
Stutter Step GMT 119	GMT	GMT-119.png	Time	N/A	N/A	Special Rank	Reaction	4TP	Common	Negate 1 Physical attack of Hyper Rank or lower that targets the user of this card.;Put 2 :drain: on the user.
Sucker Punch GMT 120	GMT	GMT-120.png	Dark	N/A	N/A	Hyper Rank	Reaction - Physical	5TP	Common	Block 1 Physical attack of Hyper Rank or lower that targets the user of this card. If successful, put 2 :blindness: on the attacker.
Temporal Freeze GMT 121	GMT	GMT-121.png	Time/Water	N/A	N/A	Devastation Rank	Reaction	15TP	Rare	End the current Battle Phase.;Prevent and destroy all cards, effects, and abilities in the chain except this card.
Undertow GMT 122	GMT	GMT-122.png	Water	N/A	N/A	Special Rank	Reaction	4TP	Uncommon	Block 1 Physical attack of Hyper Rank or lower. If the attacker is a Player, they lose !tp! equal to that attack's !tp! divided by 2, rounded up.
Asteroid Slam GMT 123	GMT	GMT-123.png	Space	N/A	N/A	Hyper Rank	Skill - Physical	9TP	Rare	Hit target enemy for [!plv!+6] damage. If successful, draw 2 cards. If either of those cards are =space=, you may send up to 4 cards from your Hand to the top of your Deck, shuffle your Deck, then draw that many cards.
Blitz Fist GMT 124	GMT	GMT-124.png	Fire	N/A	N/A	Special Rank	Skill - Physical	2TP	Uncommon	Overdrive: 1 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+1] damage.;On Overdrive Paid: Put 4 :drain: On your target.
Body Slam GMT 125	GMT	GMT-125.png	Metal	N/A	N/A	Hyper Rank	Skill - Physical	8TP	Common	Hit target enemy for [!plv!+8] damage.
Carbalite Razor GMT 126	GMT	GMT-126.png	Metal	N/A	N/A	Ultra Rank	Skill - Physical	10TP	Common	Hit target enemy for [!plv!+2] Unblockable damage 2 times.
Choking Fog GMT 127	GMT	GMT-127.png	Water	N/A	N/A	Special Rank	Skill - Energy	4TP	Uncommon	Overdrive: 2 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.); Hit target enemy for [!plv!+4] damage.;On Overdrive Paid: This attack deals Unblockable damage.
Chronoboost GMT 128	GMT	GMT-128.png	Time	N/A	N/A	Special Rank	Skill	3TP	Common	Hit target enemy for !plv! damage. If successful, you may play a Skill of Hyper Rank or lower from your Hand without paying !tp! as if it was attached to the user.
Coordinated Strike GMT 129	GMT	GMT-129.png	Light	N/A	N/A	Special Rank	Skill - Physical	4TP	Uncommon	Hit target enemy for [!plv!+1] damage, then hit target enemy for [X+1] damage, where X is another ally's !plv!.
Cresting Wave Kick GMT 130	GMT	GMT-130.png	Light/Water	N/A	N/A	Special Rank	Skill - Physical	4TP	Uncommon	This card cannot be targeted by Reactions unless their controller pays 2 !tp!.;Hit target enemy for [!plv!+2] damage.
Dendrotoxic Spines GMT 131	GMT	GMT-131.png	Nature	N/A	N/A	Hyper Rank	Skill - Physical	7TP	Common	Hit target enemy for [!plv!+X] damage, where X is the number of :poison: On all Characters.
Drill Lance GMT 132	GMT	GMT-132.png	Metal	N/A	N/A	Hyper Rank	Skill - Physical	5TP	Common	Overdrive: 4 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+5] damage.;On Overdrive Paid: Hit your target for [!plv!+10] damage instead.
Drowning Tsunami GMT 133	GMT	GMT-133.png	Water	N/A	N/A	Ultra Rank	Skill - Energy	12TP	Common	Hit all enemies for [!plv!+4+X] damage, where X is the total amount of cards in all Players' Hands.
Dynaforce GMT 134	GMT	GMT-134.png	Storm	N/A	N/A	Hyper Rank	Skill - Energy	8TP	Uncommon	Hit up to 2 target enemies for [!plv!+X] damage, where X is the amount of :power: on all cards on the Field.
Earthquake Punch GMT 135	GMT	GMT-135.png	Earth	N/A	N/A	Special Rank	Skill - Physical	4TP	Uncommon	Hit target enemy for [!plv!+6] damage.;If this card is Blocked or Deflected, put 2 :fracture: on all defenders.
Eclipse Hammer GMT 136	GMT	GMT-136.png	Light/Dark	N/A	N/A	Hyper Rank	Skill - Energy	6TP	Rare	Hit target enemy for [!plv!+4] damage.;Hit all other enemy Characters for 3 Relentless damage.
Emberburst GMT 137	GMT	GMT-137.png	Fire	N/A	N/A	Ultra Rank	Skill - Energy	10TP	Common	Hit all enemy Characters for [!plv!+5] damage. For each successful hit, put 2 :drain: on that target.
Feral Roar GMT 138	GMT	GMT-138.png	Nature	N/A	N/A	Special Rank	Skill - Energy	4TP	Common	This card can be used from your Hand without you being in The Last Stand.;You and all other allies heal for 5 !hp! and gain 1 !plv! until your next turn's Starting Phase.
Flame Geyser GMT 139	GMT	GMT-139.png	Fire	N/A	N/A	Hyper Rank	Skill - Energy	6TP	Common	Hit target enemy for [!plv!+1] damage 3 times.
Flame Vortex GMT 140	GMT	GMT-140.png	Storm/Fire	N/A	N/A	Hyper Rank	Skill - Energy	8TP	Uncommon	Hit up to 2 target enemies for [!plv!+3] damage 2 times.
Frost Heave GMT 141	GMT	GMT-141.png	Earth/Water	N/A	N/A	Hyper Rank	Skill - Physical	7TP	Uncommon	Hit target enemy for [!plv!+6] damage. If successful, you may send a card attached to your target to the bottom of their owner's Deck.
Furnace Blast GMT 142	GMT	GMT-142.png	Fire	N/A	N/A	Hyper Rank	Skill - Energy	8TP	Rare	Hit target enemy for [!plv!+4+(X*2)] damage, where X is the number of cards attached to your target.
Galactic Beam GMT 143	GMT	GMT-143.png	Space	N/A	N/A	Hyper Rank	Skill - Energy	7TP	Uncommon	Overdrive: Send the top 5 cards of your Deck to your Rift Zone. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+8] damage.;On Overdrive Paid: Hit all enemies for [!plv!+8] Relentless damage instead.
Gathering Charge GMT 144	GMT	GMT-144.png	Storm	N/A	N/A	Hyper Rank	Skill	6TP	Common	Search your Deck for any number of Energy Skills or Reactions, reveal them, then shuffle your Deck and put those cards on the top of your Deck in any order.
Geyser Punch GMT 145	GMT	GMT-145.png	Water	N/A	N/A	Hyper Rank	Skill - Physical	5TP	Common	Hit target enemy for [!plv!+3] damage.;You may look at the top 3 cards of your Deck. If you do, put 1 of those cards into your Hand, then put the other 2 cards on the bottom of your Deck in any order.
Gravel Screen GMT 146	GMT	GMT-146.png	Earth	N/A	N/A	Special Rank	Skill - Physical	2TP	Common	Put 2 :shield: and 1 :fracture: on the user.
Grit Storm GMT 147	GMT	GMT-147.png	Earth	N/A	N/A	Hyper Rank	Skill - Energy	6TP	Common	Hit target enemy for [!plv!+4] damage. If successful, put 1 :paralyze: and 1 :fracture: on your target.
Havoc Hammer GMT 148	GMT	GMT-148.png	Metal	N/A	N/A	Hyper Rank	Skill - Physical	9TP	Common	Hit target enemy for [!plv!+10] Unblockable damage.
Head Smash GMT 149	GMT	GMT-149.png	Earth	N/A	N/A	Special Rank	Skill - Physical	2TP	Common	Hit target enemy for !plv! Relentless damage.
Holy Brand GMT 150	GMT	GMT-150.png	Light/Fire	N/A	N/A	Hyper Rank	Skill - Energy	2TP	Common	Target ally heals for 8 !hp!. Additionally, put 2 :drain: On your target.
Hydro Kick GMT 151	GMT	GMT-151.png	Water	N/A	N/A	Special Rank	Skill - Physical	3TP	Uncommon	Hit target enemy for [!plv!+2] damage. If your target has any :poison:, :blindness:, or :drain:, you may draw a card.
Ice Prison GMT 152	GMT	GMT-152.png	Storm/Water	N/A	N/A	Hyper Rank	Skill - Energy	8TP	Common	Hit target enemy for [!plv!+4] damage. If successful, put 2 :paralyze: On your target.
Infinite Tide GMT 153	GMT	GMT-153.png	Water	N/A	N/A	Hyper Rank	Skill - Physical	4TP	Rare	Hit target enemy for !plv! Unblockable damage.;On Destroyed: Send this card to your Hand.
Ironblood Shout GMT 154	GMT	GMT-154.png	Metal	N/A	N/A	Ultra Rank	Skill	12TP	Common	Hit all enemy Characters for [!plv!+6] damage. For each successful hit, that target gains Timid 10 until your next Starting Phase.
Kudzu Lash GMT 155	GMT	GMT-155.png	Nature	N/A	N/A	Special Rank	Skill - Physical	3TP	Uncommon	Hit target enemy for [!plv!+1] damage. If successful, put 2 :blindness: on your target.
Late Revenge GMT 156	GMT	GMT-156.png	Time/Dark	N/A	N/A	Ultra Rank	Skill - Buildup, Physical	10TP	Rare	Buildup 3 (On Enter Field: Place this card in a Character Zone. On Stack of 3: Activate this card.);Once per round, during your Starting Phase, you may put the top card of your Deck in this card's Stack.;On Activate: Hit target enemy for [10+X] Relentless damage, where X is the total Level of all Characters in your Discard Pile.
Lead Foot GMT 157	GMT	GMT-157.png	Metal	N/A	N/A	Ultra Rank	Skill - Physical	7TP	Common	Hit target enemy for [!plv!+12] damage.;Put 1 :paralyze: on the user.
Lightning Barbs GMT 158	GMT	GMT-158.png	Dark/Storm	N/A	N/A	Hyper Rank	Skill - Energy	6TP	Uncommon	Hit up to 2 target enemies for [!plv!+5] damage. For each successful hit, put 1 :paralyze: on that target.
Mega Fissure GMT 159	GMT	GMT-159.png	Earth	N/A	N/A	Hyper Rank	Skill - Physical	8TP	Common	Hit up to 3 target enemies for X damage, where X is equal to the amount of Damage Counters on the user.
Mental Shock GMT 160	GMT	GMT-160.png	Dark	N/A	N/A	Hyper Rank	Skill - Energy	6TP	Common	Overdrive: Discard 2 cards. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+5] damage.;On Overdrive Paid: Look at all cards attached to your target, then destroy 1 of those cards.
Moment of Clarity GMT 161	GMT	GMT-161.png	Water	N/A	N/A	Hyper Rank	Skill - Energy	5TP	Common	This card can only be used by Characters.;Search your Deck for a Skill or Reaction that has !tp! less than or equal to the user's Level, reveal it, and put it in your Hand. Shuffle your Deck afterward.
Mountain Hammer GMT 162	GMT	GMT-162.png	Earth	N/A	N/A	Special Rank	Skill - Physical	4TP	Uncommon	Overdrive: Send a card with Arena you own from the Field to your Discard Pile. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+3] damage.;On Overdrive Paid: Hit your target for [!plv!+5] damage.
Oaken Fist GMT 163	GMT	GMT-163.png	Nature	N/A	N/A	Special Rank	Skill - Physical	4TP	Common	Hit target enemy for [!plv!+2] damage. If successful, put 4 :poison: on your target.
Orb Lightning GMT 164	GMT	GMT-164.png	Storm	N/A	N/A	Special Rank	Skill - Energy	2TP	Common	Hit up to 2 target enemies for !plv! damage.
Orbital Bombardment GMT 165	GMT	GMT-165.png	Space/Metal	N/A	N/A	Hyper Rank	Skill - Physical	8TP	Rare	Hit target enemy for [!plv!+4] damage. If successful, you may send a =space= card from your Hand to your Rift Zone. If you do, hit all enemies for X damage, where X is the amount of cards in your Rift Zone.
Paralysis Shard GMT 166	GMT	GMT-166.png	Storm/Earth	N/A	N/A	Special Rank	Skill - Physical	4TP	Common	Hit target enemy for [!plv!+2] damage. If successful, put 1 :paralyze: and 2 :fracture: on your target.
Plaguestorm GMT 167	GMT	GMT-167.png	Nature/Storm	N/A	N/A	Ultra Rank	Skill	10TP	Uncommon	Hit all enemies for [!plv!+5] damage. For each successful hit, put 3 :poison: on that target.
Pounding Fists GMT 168	GMT	GMT-168.png	Metal	N/A	N/A	Special Rank	Skill - Physical	2TP	Common	Overdrive: 1 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+1] damage.;On Overdrive Paid: Send this card to your Hand instead of your Discard Pile when it resolves.
Preemptive Strike GMT 169	GMT	GMT-169.png	Dark	N/A	N/A	Ultra Rank	Skill - Physical	12TP	Uncommon	Hit target enemy for [!plv!+10] damage. If successful, all enemy Players must skip their next Draw Phase.
Quantum Laser GMT 170	GMT	GMT-170.png	Space	N/A	N/A	Ultra Rank	Skill - Energy	12TP	Uncommon	You must send 3 cards in your Deck in order to activate this card. X becomes the total !tp! of all cards sent to your Rift Zone this way.;On Activate: Hit target enemy for [!plv!+X] Relentless damage.
Quasar Blade GMT 171	GMT	GMT-171.png	Space	N/A	N/A	Special Rank	Skill - Energy	4TP	Common	Hit target enemy for !plv! damage.;You may play a =space= Skill of Hyper Rank or lower from your Hand without paying !tp! as if it was attached to the user.
Reflection Punch GMT 172	GMT	GMT-172.png	Light/Metal	N/A	N/A	Special Rank	Skill - Physical	3TP	Uncommon	Hit target enemy for [!plv!+2] Unblockable damage.
Refocus GMT 173	GMT	GMT-173.png	Light	N/A	N/A	Special Rank	Skill	2TP	Uncommon	Overdrive: Send 2 cards in any enemy Player's Discard Pile on the bottom of their owner's Deck. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Send a card from your Discard Pile to the bottom of your Deck.;On Overdrive Paid: Send 2 cards from your Discard Pile to the bottom of your Deck.
Regrowth GMT 174	GMT	GMT-174.png	Nature/Water	N/A	N/A	Special Rank	Skill	4TP	Common	The user heals for 6 !hp!.;Send 1 non-Character card from your Discard Pile to the bottom of your Deck.
Searing Style GMT 175	GMT	GMT-175.png	Fire	N/A	N/A	Special Rank	Skill - Physical	4TP	Common	Hit target enemy for [!plv!+1] damage. If successful, the next attack the user performs becomes =fire= instead of its original Elements and deals 3 more damage per hit.
Shock Ray GMT 176	GMT	GMT-176.png	Storm	N/A	N/A	Special Rank	Skill - Energy	3TP	Common	Hit target enemy for [!plv!+2] damage. If successful and your target is a Character, hit your target's controller for [!plv!+2] damage.
Shredder Edge GMT 177	GMT	GMT-177.png	Metal	N/A	N/A	Ultra Rank	Skill - Physical	11TP	Common	Hit target enemy for [!plv!+4] damage 4 times.
Slay The Weak GMT 178	GMT	GMT-178.png	Dark	N/A	N/A	Hyper Rank	Skill - Physical	8TP	Uncommon	Hit target enemy for [!plv!+5] damage. If your target has any :paralyze:, :drain:, :poison:, :blindness:, :fracture:, or :curse:, hit your target for [!plv!+3] damage 2 times.
Soul Venom GMT 179	GMT	GMT-179.png	Dark/Nature	N/A	N/A	Ultra Rank	Skill - Energy	10TP	Common	Hit target enemy for [!plv!+6] damage. If successful, put 8 :poison: on your target.
Spatial Dislocation GMT 180	GMT	GMT-180.png	Space/Water	N/A	N/A	Hyper Rank	Skill	8TP	Common	Look at the top or bottom 4 cards of your Deck. Put 1 of those cards in your Hand, then put the rest on the top or bottom of your Deck in any order.
Starforge Slam GMT 181	GMT	GMT-181.png	Space/Metal	N/A	N/A	Devastation Rank	Skill - Physical	15TP	Super Rare	Hit all enemy Characters for [!plv!+20] damage.;You may activate 1 Skill of Hyper Rank or lower from your Rift Zone without paying !tp!. If you do, send this card to your Rift Zone.
Stormcharge GMT 182	GMT	GMT-182.png	Storm	N/A	N/A	Hyper Rank	Skill - Energy	9TP	Uncommon	Overdrive: 2 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit all enemy Characters for [!plv!+3] damage.;On Overdrive Paid: This card gains Lock-On. Hit all enemy Players for [!plv!+3] damage. For each Player damaged this way, you may put 1 :power: on a card you control that can hold :power:.
Tech Overload GMT 183	GMT	GMT-183.png	Time	N/A	N/A	Ultra Rank	Skill - Energy	0TP	Uncommon	Mythical (Only 1 copy of this card can exist in your Deck.);Void (On Destroyed: Send this card to its owner's Rift Zone.);Hit target enemy for X damage, where X is the total !tp! of all enemy Players.
Thornstrike GMT 184	GMT	GMT-184.png	Nature	N/A	N/A	Special Rank	Skill - Physical	4TP	Common	Overdrive: 2 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+3] damage.;On Overdrive Paid: Put 4 :poison: On your target.
Typhoon Throw GMT 185	GMT	GMT-185.png	Storm	N/A	N/A	Hyper Rank	Skill - Physical	5TP	Common	Hit target enemy for [!plv!+3] Unblockable damage. If successful, you gain 2 !tp!.
UV Blast GMT 186	GMT	GMT-186.png	Light	N/A	N/A	Special Rank	Skill - Energy	4TP	Common	Hit target enemy for [!plv!+3] damage. If successful, put 2 :blindness: On your target.
Vertebrae Snap GMT 187	GMT	GMT-187.png	Dark	N/A	N/A	Hyper Rank	Skill - Physical	8TP	Uncommon	Hit target enemy for [!plv!+5] damage. If your target has :blindness:, :fracture:, or :paralyze:, Knock Out your target.
Victor's Folly GMT 188	GMT	GMT-188.png	Dark	N/A	N/A	Hyper Rank	Skill - Physical	7TP	Common	Hit target enemy for [!plv!+4+(X*3)] damage, where X is the number of Characters in your Discard Pile.
Void Ray GMT 189	GMT	GMT-189.png	Space	N/A	N/A	Ultra Rank	Skill - Energy	5TP	Common	You must send 2 cards from your Hand to your Rift Zone in order to activate this card.;On Activate: Hit target enemy for [!plv!+12] Unblockable damage.
Volcano Suplex GMT 190	GMT	GMT-190.png	Earth/Fire	N/A	N/A	Hyper Rank	Skill - Physical	9TP	Uncommon	Hit target enemy for [!plv!+4] damage. If successful, put 4 :drain: and 4 :fracture: on your target.
Warp Speed Punch GMT 191	GMT	GMT-191.png	Time	N/A	N/A	Hyper Rank	Skill - Physical	5TP	Common	Overdrive: 1 !tp!. (On Activate: You may pay this cost to trigger this card's Overdrive effect.);Hit target enemy for [!plv!+2] damage.;On Overdrive Paid: Flip this card face-down when it resolves instead of destroying it.
Whirlpool GMT 192	GMT	GMT-192.png	Dark/Water	N/A	N/A	Special Rank	Skill	9TP	Common	Hit target enemy for [!plv!+3] damage 3 times. If successful and your target is a Character, your target's controller sends the top 2 cards of their Deck to their Discard Pile.
Wildfire Kick GMT 193	GMT	GMT-193.png	Nature/Fire	N/A	N/A	Hyper Rank	Skill - Physical	6TP	Common	Hit target enemy for [!plv!+3] damage. If successful and your target is a Character, your target's controller discards 2 cards from their Hand.
Willow Springbow GMT 194	GMT	GMT-194.png	Nature	N/A	N/A	Hyper Rank	Skill - Physical	6TP	Common	Lock-On (This card can directly attack enemy Players and Characters regardless of Combat Zone Order.);Hit target enemy for [!plv!+3] damage. If successful, put 2 :poison: and 1 :paralyze: on your target.
World Barrage GMT 195	GMT	GMT-195.png	Space	N/A	N/A	Legendary Rank	Skill	30TP	Ultra Rare	Mythical (Only 1 copy of this card can exist in your Deck.);Void (On Destroyed: Send this card to its owner's Rift Zone.);Search your Deck for up to 5 Skills of Ultra Rank or lower that can deal damage. The user attacks with each card without paying !tp!. Shuffle your Deck afterward.
